id,from,at,to,open,close,min,max,volume,SMA,RSI,Sinal
2520036,1722021240,1722021300000000000,1722021300,1.085875,1.085845,1.08582,1.085875,142,1.0857865,85.71428571436627,Venda
2520037,1722021300,1722021360000000000,1722021360,1.08584,1.085845,1.085765,1.08586,178,1.0858045,84.21052631587558,Venda
2520038,1722021360,1722021420000000000,1722021420,1.08584,1.08584,1.08581,1.085855,130,1.0858215000000002,82.75862068972646,Venda
2520039,1722021420,1722021480000000000,1722021480,1.08584,1.085825,1.085785,1.085865,188,1.0858310000000002,77.19298245623877,Neutro
2520040,1722021480,1722021540004599959,1722021540,1.085825,1.0859,1.085775,1.0859,190,1.085842,85.50724637688342,Venda
2520041,1722021540,1722021600000000000,1722021600,1.08589,1.08593,1.08584,1.085935,142,1.0858560000000002,86.30136986307953,Venda
2520042,1722021600,1722021660004682426,1722021660,1.085925,1.08588,1.08586,1.08593,137,1.085861,75.60975609759268,Venda
2520043,1722021660,1722021720000000000,1722021720,1.08589,1.08586,1.085835,1.085895,175,1.085863,67.56756756759515,Neutro
2520044,1722021720,1722021780000000000,1722021780,1.08587,1.085865,1.08584,1.085885,173,1.085866,61.90476190479212,Neutro
2520045,1722021780,1722021840000000000,1722021840,1.08586,1.08585,1.085825,1.085885,189,1.0858640000000002,59.090909090915204,Neutro
2520046,1722021840,1722021900000000000,1722021900,1.08586,1.08586,1.085825,1.08588,140,1.0858655,55.00000000000371,Neutro
2520047,1722021900,1722021960002807564,1722021960,1.085865,1.0859,1.08581,1.0859,129,1.085871,59.09090909094273,Neutro
2520048,1722021960,1722022020000000000,1722022020,1.085905,1.085875,1.08586,1.085915,158,1.0858745,55.71428571425853,Neutro
2520049,1722022020,1722022080000000000,1722022080,1.08587,1.0859,1.08586,1.0859,134,1.085882,54.411764705905405,Neutro
2520050,1722022080,1722022140001864934,1722022140,1.08589,1.08587,1.08586,1.08593,111,1.085879,53.62318840578125,Neutro
2520051,1722022140,1722022200000000000,1722022200,1.08586,1.085865,1.08586,1.08591,111,1.0858725,52.85714285715736,Neutro
2520052,1722022200,1722022260000000000,1722022260,1.085875,1.085785,1.08573,1.085895,192,1.085863,43.52941176472432,Neutro
2520053,1722022260,1722022320000000000,1722022320,1.085785,1.0857,1.08568,1.085785,161,1.085847,37.37373737375913,Neutro
2520054,1722022320,1722022380000000000,1722022380,1.08571,1.085725,1.08562,1.085735,123,1.085833,30.3370786517022,Neutro
2520055,1722022380,1722022440000000000,1722022440,1.08572,1.085715,1.08566,1.085725,151,1.0858195000000002,24.70588235296576,Compra
2520056,1722022440,1722022500000000000,1722022500,1.08571,1.0857,1.08565,1.085725,164,1.0858035000000001,26.92307692311634,Compra
2520057,1722022500,1722022560000000000,1722022560,1.085695,1.085795,1.085655,1.085795,184,1.085793,43.01075268817975,Neutro
2520058,1722022560,1722022620000000000,1722022620,1.08579,1.085755,1.085715,1.08579,146,1.085781,39.000000000003105,Neutro
